student_id,age,region,enroll_date,exam_season,courses_enrolled,completed_assignments,completion_rate,login_frequency,last_activity_days_ago,forum_posts_count,dropout_score,label,label_multiclass,label_name,engagement_score,activity_level,risk_level
STU00015,19,Cairo,2024-03-22,0,1,1,0.2842,1.03,11,0,0.6393,1,2,dropped,0.9300000000000002,Low,High Risk
STU00016,26,Tunis,2024-06-23,0,1,0,0.0682,1.09,4,0,0.7276,1,2,dropped,0.6900000000000001,Low,High Risk
STU00017,31,Amman,2024-03-20,0,5,8,0.3277,2.35,13,4,0.3622,1,1,at-risk,9.049999999999999,Low,Medium Risk
STU00018,17,Dubai,2024-06-21,0,6,6,0.204,1.78,11,1,0.5435,1,1,at-risk,6.68,Low,High Risk
STU00019,21,Alexandria,2024-02-17,0,4,3,0.1358,0.1,10,1,0.6929,1,2,dropped,2.1,Low,High Risk
STU00020,19,Tunis,2024-02-19,0,7,22,0.6318,9.66,10,16,0.0,0,0,active,30.66,Medium,Low Risk
STU00021,25,Beirut,2024-06-25,0,4,5,0.2718,1.06,3,4,0.7153,1,2,dropped,5.760000000000001,Low,High Risk
STU00022,26,Doha,2024-05-15,0,4,13,0.6376,7.63,1,4,0.0974,0,0,active,20.529999999999998,Medium,Low Risk
STU00023,24,Cairo,2024-08-23,0,6,0,0.0,2.08,6,2,0.413,1,1,at-risk,1.48,Low,High Risk
STU00024,18,Baghdad,2024-03-04,0,7,13,0.382,4.47,10,8,0.0,0,0,active,16.47,Medium,Medium Risk
STU00025,28,Tunis,2024-02-10,0,4,8,0.3799,4.49,1,2,0.0821,0,0,active,12.39,Medium,Medium Risk
STU00026,27,Baghdad,2024-05-30,0,1,4,0.8559,10.71,2,6,0.0,0,0,active,14.510000000000002,High,Low Risk
STU00027,23,Doha,2024-07-04,0,2,0,0.0,2.85,46,4,0.6547,1,2,dropped,-1.7499999999999996,Low,High Risk
STU00028,18,Doha,2024-04-08,0,2,2,0.1646,1.36,2,1,0.8423,1,2,dropped,3.16,Low,High Risk
STU00029,20,Alexandria,2024-01-24,0,7,7,0.2036,2.44,1,6,0.4112,1,1,at-risk,9.34,Low,High Risk
STU00030,24,Dubai,2024-05-28,0,1,0,0.0,0.59,3,0,0.7477,1,2,dropped,0.29,Low,High Risk
STU00031,17,Alexandria,2024-04-29,1,5,4,0.1432,1.11,5,3,0.7888,1,2,dropped,4.61,Low,High Risk
STU00032,26,Alexandria,2024-07-13,0,5,17,0.6767,12.22,2,18,0.0,0,0,active,29.02,Medium,Low Risk
STU00033,23,Amman,2024-08-20,0,4,0,0.0124,1.84,2,1,0.5912,1,1,at-risk,1.6400000000000001,Low,High Risk
STU00034,26,Beirut,2024-03-24,0,5,10,0.4005,1.15,4,1,0.5326,1,1,at-risk,10.75,Low,Medium Risk
STU00035,22,Beirut,2024-06-30,0,2,6,0.6408,5.04,1,7,0.0001,0,0,active,10.94,Medium,Low Risk
STU00036,27,Dubai,2024-12-09,0,5,9,0.373,4.03,10,10,0.1119,0,0,active,12.030000000000001,Medium,Medium Risk
STU00037,20,Amman,2024-12-25,0,4,0,0.0,0.37,1,0,0.6611,1,2,dropped,0.27,Low,High Risk
STU00038,25,Alexandria,2024-11-07,0,5,9,0.3724,6.52,26,13,0.1716,0,0,active,12.92,Medium,Medium Risk
STU00039,22,Riyadh,2024-09-30,0,5,13,0.5012,4.71,1,5,0.0671,0,0,active,17.61,Medium,Medium Risk
STU00040,28,Dubai,2024-03-24,0,4,15,0.7638,10.49,3,14,0.0476,0,0,active,25.19,High,Low Risk
STU00041,30,Casablanca,2024-07-13,0,4,11,0.5512,10.23,26,15,0.3451,1,1,at-risk,18.63,Medium,Medium Risk
STU00042,26,Amman,2024-11-23,0,7,5,0.1306,0.54,1,0,0.8086,1,2,dropped,5.44,Low,High Risk
STU00043,21,Baghdad,2024-04-22,1,2,6,0.587,7.79,12,12,0.1867,0,0,active,12.59,Medium,Medium Risk
STU00044,18,Beirut,2024-01-29,0,6,5,0.1665,2.37,1,0,0.5269,1,1,at-risk,7.2700000000000005,Low,High Risk
STU00045,25,Dubai,2024-01-17,0,1,1,0.1616,4.0,7,3,0.4087,1,1,at-risk,4.3,Medium,Medium Risk
STU00046,22,Beirut,2024-07-24,0,5,23,0.9093,12.26,34,8,0.201,0,0,active,31.86,High,Low Risk
STU00047,35,Amman,2024-02-03,0,6,4,0.1481,1.22,24,3,0.68,1,2,dropped,2.82,Low,High Risk
STU00048,22,Dubai,2024-10-17,1,5,1,0.0578,1.14,1,1,0.6916,1,2,dropped,2.0399999999999996,Low,High Risk
STU00049,25,Beirut,2024-04-18,1,1,2,0.4136,1.85,1,2,0.3902,1,1,at-risk,3.75,Low,Medium Risk
STU00050,27,Casablanca,2024-07-21,0,5,9,0.3429,3.33,4,2,0.0894,0,0,active,11.93,Medium,Medium Risk
STU00051,25,Casablanca,2024-03-14,0,7,0,0.0,1.75,1,2,0.4675,1,1,at-risk,1.65,Low,High Risk
STU00052,21,Amman,2024-03-12,0,5,25,1.0,14.0,5,22,0.0038,0,0,active,38.5,High,Low Risk
STU00053,17,Dubai,2024-10-14,0,1,2,0.4339,4.95,6,2,0.252,0,0,active,6.3500000000000005,Medium,Medium Risk
STU00054,23,Baghdad,2024-05-14,0,2,8,0.787,6.69,1,7,0.1404,0,0,active,14.590000000000002,Medium,Low Risk
STU00055,17,Doha,2024-08-07,0,3,4,0.2402,0.33,24,2,0.8176,1,2,dropped,1.9300000000000002,Low,High Risk
STU00056,17,Doha,2024-07-23,0,1,2,0.4909,10.45,10,12,0.1456,0,0,active,11.45,Medium,Medium Risk
STU00057,23,Beirut,2024-04-22,1,1,1,0.143,2.16,11,3,0.6798,1,2,dropped,2.06,Low,High Risk
STU00058,22,Riyadh,2024-09-17,0,3,3,0.208,3.85,3,1,0.2619,0,0,active,6.55,Medium,Medium Risk
STU00059,23,Casablanca,2024-02-16,0,2,4,0.4061,7.86,4,7,0.1145,0,0,active,11.459999999999999,Medium,Medium Risk
STU00060,20,Cairo,2024-02-26,0,4,0,0.0173,0.82,6,1,0.4658,1,1,at-risk,0.21999999999999997,Low,High Risk
STU00061,28,Riyadh,2024-11-17,0,7,11,0.3168,6.51,13,5,0.1208,0,0,active,16.209999999999997,Medium,Medium Risk
STU00062,17,Riyadh,2024-12-14,0,1,0,0.0,0.83,15,2,0.7719,1,2,dropped,-0.67,Low,High Risk
STU00063,19,Tunis,2024-11-01,1,7,12,0.3331,4.67,6,7,0.2897,0,0,active,16.07,Medium,Medium Risk
STU00064,23,Alexandria,2024-07-16,0,5,0,0.0,0.38,2,0,0.6499,1,2,dropped,0.18,Low,High Risk
STU00065,19,Tunis,2024-11-01,1,7,13,0.3804,6.47,24,5,0.4936,1,1,at-risk,17.07,Medium,Medium Risk
STU00066,23,Casablanca,2024-09-27,0,6,29,0.9694,9.28,2,9,0.1296,0,0,active,38.08,High,Low Risk
STU00067,20,Amman,2024-10-10,0,1,0,0.0621,4.66,4,7,0.4654,1,1,at-risk,4.26,Medium,Medium Risk
STU00068,17,Cairo,2024-12-14,0,2,10,1.0,14.0,14,14,0.0038,0,0,active,22.6,High,Low Risk
STU00069,20,Alexandria,2024-12-15,0,7,27,0.7601,5.53,15,10,0.1426,0,0,active,31.03,Medium,Low Risk
STU00070,27,Baghdad,2024-05-16,0,4,2,0.1042,0.63,4,1,0.6163,1,2,dropped,2.23,Low,High Risk
STU00071,22,Beirut,2024-02-27,0,7,16,0.455,4.38,2,8,0.0,0,0,active,20.18,Medium,Medium Risk
STU00072,31,Amman,2024-08-10,0,3,2,0.1159,3.46,2,6,0.268,0,0,active,5.26,Medium,Medium Risk
STU00073,31,Riyadh,2024-08-20,0,3,6,0.4117,4.92,6,6,0.2131,0,0,active,10.32,Medium,Medium Risk
STU00074,21,Cairo,2024-05-14,0,3,5,0.3184,3.59,5,4,0.2501,0,0,active,8.09,Medium,Medium Risk
STU00075,27,Baghdad,2024-04-01,0,4,12,0.5988,8.5,2,6,0.1515,0,0,active,20.3,Medium,Medium Risk
STU00076,31,Baghdad,2024-02-24,0,4,6,0.28,2.91,13,4,0.4679,1,1,at-risk,7.61,Low,High Risk
STU00077,19,Amman,2024-11-23,0,5,1,0.0261,0.63,18,0,0.7012,1,2,dropped,-0.17000000000000015,Low,High Risk
STU00078,18,Baghdad,2024-11-07,0,3,2,0.1354,3.13,4,2,0.3393,1,1,at-risk,4.7299999999999995,Medium,Medium Risk
STU00079,28,Dubai,2024-03-19,0,3,4,0.2926,8.97,25,10,0.3645,1,1,at-risk,10.47,Medium,Medium Risk
STU00080,24,Beirut,2024-03-23,0,3,1,0.0369,0.53,8,2,0.5445,1,1,at-risk,0.73,Low,High Risk
STU00081,18,Baghdad,2024-09-28,0,4,5,0.2311,2.15,3,3,0.4303,1,1,at-risk,6.8500000000000005,Low,High Risk
STU00082,17,Cairo,2024-11-02,1,3,1,0.0413,0.82,1,0,0.9124,1,2,dropped,1.7199999999999998,Low,High Risk
STU00083,36,Beirut,2024-09-07,0,2,0,0.0,1.22,6,2,0.7773,1,2,dropped,0.62,Low,High Risk
STU00084,23,Cairo,2024-02-27,0,4,0,0.0,0.7,1,1,0.5878,1,1,at-risk,0.6,Low,High Risk
STU00085,26,Beirut,2024-06-06,0,5,0,0.0148,1.83,7,2,0.3133,1,1,at-risk,1.1300000000000001,Low,High Risk
STU00086,29,Dubai,2024-01-30,0,5,0,0.0,0.69,2,0,0.757,1,2,dropped,0.48999999999999994,Low,High Risk
STU00087,27,Dubai,2024-10-17,1,3,13,0.8888,11.51,5,21,0.1017,0,0,active,24.009999999999998,High,Low Risk
STU00088,22,Alexandria,2024-02-13,0,2,1,0.0711,0.31,4,2,0.5499,1,1,at-risk,0.91,Low,High Risk
STU00089,20,Casablanca,2024-02-05,0,7,0,0.0,0.12,14,1,0.726,1,2,dropped,-1.2799999999999998,Low,High Risk
STU00090,22,Baghdad,2024-03-05,0,3,10,0.6597,10.38,22,17,0.1319,0,0,active,18.180000000000003,Medium,Low Risk
STU00091,22,Riyadh,2024-12-03,0,3,6,0.3812,2.51,10,3,0.1664,0,0,active,7.51,Low,Medium Risk
STU00092,22,Casablanca,2024-10-08,0,5,0,0.0,0.66,17,1,0.7941,1,2,dropped,-1.04,Low,High Risk
STU00093,25,Riyadh,2024-05-15,0,4,8,0.3981,3.51,31,6,0.282,0,0,active,8.41,Medium,Medium Risk
STU00094,30,Baghdad,2024-11-06,0,4,8,0.4032,4.44,3,5,0.0,0,0,active,12.14,Medium,Medium Risk
STU00095,21,Tunis,2024-04-18,1,6,24,0.7947,10.87,6,9,0.0486,0,0,active,34.269999999999996,High,Low Risk
STU00096,17,Baghdad,2024-12-19,0,1,0,0.0767,2.39,8,4,0.645,1,2,dropped,1.59,Low,High Risk
STU00097,20,Dubai,2024-06-08,0,3,12,0.7807,11.45,7,17,0.0553,0,0,active,22.75,High,Low Risk
STU00098,30,Tunis,2024-12-09,0,1,2,0.3937,3.76,12,5,0.1367,0,0,active,4.56,Medium,Medium Risk
STU00099,28,Beirut,2024-08-12,0,6,2,0.0522,0.45,1,1,0.7585,1,2,dropped,2.35,Low,High Risk
STU00100,22,Baghdad,2024-08-19,0,7,15,0.4252,6.93,11,5,0.1709,0,0,active,20.83,Medium,Medium Risk
STU00101,30,Alexandria,2024-05-06,0,4,2,0.078,2.97,6,7,0.415,1,1,at-risk,4.370000000000001,Low,High Risk
STU00102,18,Dubai,2024-02-02,0,3,6,0.4075,0.25,5,0,0.498,1,1,at-risk,5.75,Low,Medium Risk
STU00103,22,Beirut,2024-01-11,0,4,5,0.2346,4.68,3,3,0.1453,0,0,active,9.379999999999999,Medium,Medium Risk
STU00104,17,Doha,2024-10-10,0,4,1,0.0366,0.86,1,3,0.634,1,2,dropped,1.7599999999999998,Low,High Risk
STU00105,24,Dubai,2024-10-28,1,5,13,0.5182,6.22,31,3,0.4875,1,1,at-risk,16.119999999999997,Medium,Medium Risk
STU00106,26,Dubai,2024-01-04,0,6,30,1.0,12.17,16,17,0.0543,0,0,active,40.57,High,Low Risk
STU00107,20,Alexandria,2024-12-28,0,7,0,0.0,0.12,4,2,0.6355,1,2,dropped,-0.28,Low,High Risk
STU00108,17,Cairo,2024-04-27,1,3,12,0.8215,10.9,1,15,0.2268,0,0,active,22.799999999999997,High,Low Risk
STU00109,17,Alexandria,2024-01-17,0,3,2,0.1328,4.5,19,4,0.1715,0,0,active,4.6,Medium,Medium Risk
STU00110,19,Beirut,2024-02-06,0,5,22,0.8719,8.29,12,11,0.0656,0,0,active,29.09,High,Low Risk
STU00111,24,Baghdad,2024-05-01,0,5,12,0.4898,7.19,17,5,0.2023,0,0,active,17.490000000000002,Medium,Medium Risk
STU00112,30,Amman,2024-12-08,0,7,1,0.0163,0.75,4,1,0.6024,1,2,dropped,1.35,Low,High Risk
STU00113,22,Casablanca,2024-04-19,1,7,3,0.0944,2.73,27,4,0.6643,1,2,dropped,3.0300000000000002,Low,High Risk
STU00114,24,Baghdad,2024-03-08,0,3,2,0.1585,0.64,1,1,0.7282,1,2,dropped,2.54,Low,High Risk
STU00115,21,Doha,2024-10-22,1,3,5,0.3216,0.49,1,1,0.5895,1,1,at-risk,5.390000000000001,Low,Medium Risk
STU00116,17,Casablanca,2024-05-04,0,3,3,0.1746,1.02,19,0,0.8462,1,2,dropped,2.1199999999999997,Low,High Risk
STU00117,30,Casablanca,2024-07-27,0,3,1,0.0783,0.87,11,0,0.5976,1,1,at-risk,0.77,Low,High Risk
STU00118,28,Dubai,2024-02-18,0,1,3,0.5487,11.56,13,12,0.0547,0,0,active,13.26,Medium,Medium Risk
STU00119,25,Alexandria,2024-12-03,0,4,3,0.164,2.9,1,3,0.4373,1,1,at-risk,5.800000000000001,Low,High Risk
STU00120,18,Tunis,2024-06-30,0,2,2,0.2162,5.01,1,5,0.3759,1,1,at-risk,6.91,Medium,Medium Risk
STU00121,20,Tunis,2024-07-29,0,6,10,0.3337,0.89,10,0,0.5713,1,1,at-risk,9.89,Low,Medium Risk
STU00122,17,Casablanca,2024-01-28,0,3,15,0.9822,14.0,36,19,0.1558,0,0,active,25.4,High,Low Risk
STU00123,28,Alexandria,2024-02-01,0,1,3,0.6826,6.88,6,6,0.1203,0,0,active,9.28,Medium,Low Risk
STU00124,28,Tunis,2024-06-22,0,2,5,0.527,5.23,11,5,0.1073,0,0,active,9.13,Medium,Medium Risk
STU00125,25,Alexandria,2024-05-07,0,5,8,0.3263,4.29,7,2,0.1559,0,0,active,11.59,Medium,Medium Risk
STU00126,25,Dubai,2024-04-07,0,2,3,0.3234,3.44,1,6,0.2046,0,0,active,6.34,Medium,Medium Risk
STU00127,32,Baghdad,2024-08-17,0,4,0,0.0017,0.99,20,0,0.7175,1,2,dropped,-1.01,Low,High Risk
STU00128,21,Riyadh,2024-08-04,0,7,8,0.218,1.99,5,1,0.2902,0,0,active,9.49,Low,High Risk
STU00129,21,Riyadh,2024-05-22,0,7,0,0.0,1.04,5,3,0.5519,1,1,at-risk,0.54,Low,High Risk
STU00130,17,Casablanca,2024-05-07,0,4,6,0.3186,2.46,5,1,0.5357,1,1,at-risk,7.960000000000001,Low,Medium Risk
STU00131,31,Alexandria,2024-08-14,0,4,8,0.3832,1.92,9,3,0.3601,1,1,at-risk,9.02,Low,Medium Risk
STU00132,27,Baghdad,2024-02-20,0,3,9,0.6228,5.24,1,5,0.0,0,0,active,14.14,Medium,Low Risk
STU00133,32,Cairo,2024-11-29,0,7,0,0.0,1.56,4,1,0.3464,1,1,at-risk,1.1600000000000001,Low,High Risk
STU00134,29,Baghdad,2024-01-08,0,4,1,0.028,0.49,1,0,0.7382,1,2,dropped,1.39,Low,High Risk
STU00135,24,Alexandria,2024-05-01,0,2,1,0.084,3.87,4,4,0.4124,1,1,at-risk,4.47,Medium,Medium Risk
STU00136,17,Riyadh,2024-07-27,0,7,16,0.455,3.82,3,4,0.1428,0,0,active,19.52,Medium,Medium Risk
STU00137,24,Casablanca,2024-09-03,0,4,0,0.0,0.19,1,1,0.7873,1,2,dropped,0.09,Low,High Risk
STU00138,27,Dubai,2024-07-24,0,4,20,1.0,14.0,7,22,0.0362,0,0,active,33.3,High,Low Risk
STU00139,34,Cairo,2024-03-25,0,4,0,0.0126,0.47,1,0,0.7051,1,2,dropped,0.37,Low,High Risk
STU00140,24,Tunis,2024-01-02,0,2,0,0.0,0.73,33,0,0.9387,1,2,dropped,-2.57,Low,High Risk
STU00141,28,Tunis,2024-05-15,0,7,19,0.5407,10.13,9,14,0.1161,0,0,active,28.230000000000004,Medium,Medium Risk
STU00142,29,Casablanca,2024-05-26,0,4,2,0.1227,0.42,4,2,0.6613,1,2,dropped,2.02,Low,High Risk
STU00143,25,Tunis,2024-12-22,0,7,27,0.7783,13.23,15,15,0.2291,0,0,active,38.730000000000004,High,Low Risk
STU00144,26,Baghdad,2024-12-04,0,4,8,0.3981,3.68,9,6,0.0889,0,0,active,10.78,Medium,Medium Risk
STU00145,29,Casablanca,2024-03-20,0,3,6,0.4271,1.72,4,1,0.3814,1,1,at-risk,7.319999999999999,Low,Medium Risk
STU00146,29,Dubai,2024-05-31,0,2,8,0.8277,4.99,6,7,0.0026,0,0,active,12.39,Medium,Low Risk
STU00147,29,Dubai,2024-01-30,0,6,0,0.0,4.43,1,2,0.3607,1,1,at-risk,4.33,Medium,Medium Risk
STU00148,25,Doha,2024-10-04,0,1,0,0.0831,3.72,7,3,0.2614,0,0,active,3.0200000000000005,Medium,Medium Risk
STU00149,26,Cairo,2024-06-09,0,4,4,0.2246,2.71,5,3,0.4393,1,1,at-risk,6.21,Low,High Risk
STU00150,23,Cairo,2024-01-26,0,7,14,0.4097,6.87,1,8,0.1411,0,0,active,20.77,Medium,Medium Risk
STU00151,36,Doha,2024-09-01,0,2,1,0.1212,0.83,18,1,0.728,1,2,dropped,0.030000000000000027,Low,High Risk
STU00152,27,Baghdad,2024-09-28,0,2,2,0.234,1.03,5,4,0.577,1,1,at-risk,2.5300000000000002,Low,High Risk
STU00153,21,Riyadh,2024-01-30,0,4,8,0.4085,6.95,7,4,0.0554,0,0,active,14.25,Medium,Medium Risk
STU00154,17,Baghdad,2024-02-11,0,5,0,0.0,0.21,5,2,0.6447,1,2,dropped,-0.29000000000000004,Low,High Risk
STU00155,29,Riyadh,2024-02-05,0,4,5,0.2442,4.51,22,3,0.3535,1,1,at-risk,7.31,Medium,Medium Risk
STU00156,18,Doha,2024-02-04,0,3,0,0.0,1.47,10,2,0.8664,1,2,dropped,0.47,Low,High Risk
STU00157,27,Dubai,2024-07-25,0,3,0,0.0,2.66,13,5,0.3936,1,1,at-risk,1.36,Low,High Risk
STU00158,23,Alexandria,2024-10-18,1,4,1,0.0401,0.33,5,1,0.8302,1,2,dropped,0.8300000000000001,Low,High Risk
STU00159,30,Dubai,2024-10-23,1,4,1,0.0614,1.49,5,3,0.8058,1,2,dropped,1.9900000000000002,Low,High Risk
STU00160,27,Doha,2024-01-21,0,1,1,0.2431,3.9,1,5,0.2683,0,0,active,4.800000000000001,Medium,Medium Risk
STU00161,20,Doha,2024-02-11,0,1,0,0.0,0.32,5,2,0.8225,1,2,dropped,-0.18,Low,High Risk
STU00162,18,Tunis,2024-12-02,0,7,3,0.0991,0.62,6,1,0.8122,1,2,dropped,3.02,Low,High Risk
STU00163,28,Doha,2024-10-16,1,5,0,0.0,1.68,5,5,0.6429,1,2,dropped,1.18,Low,High Risk
STU00164,19,Baghdad,2024-06-10,0,2,9,0.8954,11.04,3,14,0.0096,0,0,active,19.74,High,Low Risk
STU00165,18,Amman,2024-04-14,1,6,15,0.4874,6.19,14,8,0.3193,1,1,at-risk,19.790000000000003,Medium,Medium Risk
STU00166,19,Beirut,2024-05-02,0,7,1,0.0355,2.47,1,4,0.4385,1,1,at-risk,3.37,Low,High Risk
STU00167,22,Amman,2024-07-21,0,2,4,0.3893,2.32,1,3,0.1884,0,0,active,6.220000000000001,Low,Medium Risk
STU00168,21,Riyadh,2024-12-09,0,4,1,0.0496,3.37,10,2,0.3501,1,1,at-risk,3.37,Medium,Medium Risk
STU00169,26,Amman,2024-08-22,0,5,16,0.6538,7.62,5,7,0.0,0,0,active,23.12,Medium,Low Risk
STU00170,23,Beirut,2024-02-07,0,7,2,0.0688,3.05,1,4,0.3464,1,1,at-risk,4.95,Medium,Medium Risk
STU00171,23,Cairo,2024-08-22,0,1,1,0.1333,2.78,1,3,0.5435,1,1,at-risk,3.6799999999999997,Low,High Risk
STU00172,19,Doha,2024-10-15,0,3,0,0.0,1.65,5,5,0.2679,0,0,active,1.15,Low,High Risk
STU00173,27,Alexandria,2024-02-07,0,2,0,0.0,1.02,5,3,0.6793,1,2,dropped,0.52,Low,High Risk
STU00174,22,Baghdad,2024-04-19,1,7,9,0.2519,2.56,1,2,0.5458,1,1,at-risk,11.46,Low,High Risk
STU00175,22,Baghdad,2024-05-15,0,3,1,0.0348,0.1,3,2,0.746,1,2,dropped,0.8,Low,High Risk
STU00176,20,Riyadh,2024-06-27,0,7,8,0.2214,5.36,7,4,0.1577,0,0,active,12.66,Medium,Medium Risk
STU00177,24,Alexandria,2024-05-05,0,1,5,0.969,13.05,2,18,0.0,0,0,active,17.85,High,Low Risk
STU00178,23,Beirut,2024-05-25,0,1,0,0.092,2.64,4,6,0.5242,1,1,at-risk,2.24,Low,High Risk
STU00179,18,Riyadh,2024-08-12,0,4,0,0.0,1.72,26,1,0.5963,1,1,at-risk,-0.8800000000000001,Low,High Risk
STU00180,34,Baghdad,2024-12-26,0,1,2,0.3884,3.63,7,10,0.0534,0,0,active,4.93,Medium,Medium Risk
STU00181,25,Amman,2024-11-09,0,3,11,0.7416,11.75,4,14,0.1183,0,0,active,22.35,High,Low Risk
STU00182,21,Baghdad,2024-01-05,0,1,1,0.2627,2.49,6,4,0.3091,1,1,at-risk,2.89,Low,High Risk
STU00183,22,Baghdad,2024-06-02,0,2,1,0.1403,3.75,18,7,0.425,1,1,at-risk,2.95,Medium,Medium Risk
STU00184,25,Alexandria,2024-03-09,0,6,1,0.0383,0.79,1,0,0.7336,1,2,dropped,1.69,Low,High Risk
STU00185,27,Amman,2024-02-29,0,5,0,0.0,0.47,15,1,0.7133,1,2,dropped,-1.03,Low,High Risk
STU00186,22,Alexandria,2024-10-10,0,6,0,0.0,1.86,8,1,0.551,1,1,at-risk,1.06,Low,High Risk
STU00187,35,Riyadh,2024-05-19,0,5,4,0.1727,3.04,6,6,0.3893,1,1,at-risk,6.44,Medium,Medium Risk
STU00188,20,Amman,2024-11-05,1,6,2,0.0708,0.82,13,1,0.9045,1,2,dropped,1.5199999999999998,Low,High Risk
STU00189,20,Dubai,2024-06-24,0,1,0,0.0312,3.19,5,7,0.2702,0,0,active,2.69,Medium,Medium Risk
STU00190,29,Dubai,2024-12-17,0,1,4,0.7963,10.51,8,15,0.0,0,0,active,13.709999999999999,High,Low Risk
STU00191,26,Amman,2024-09-15,0,3,11,0.736,9.89,20,9,0.0705,0,0,active,18.89,High,Low Risk
STU00192,26,Casablanca,2024-05-08,0,1,1,0.1663,2.0,23,1,0.5766,1,1,at-risk,0.7000000000000002,Low,High Risk
STU00193,24,Cairo,2024-02-17,0,4,8,0.3848,5.08,1,6,0.0219,0,0,active,12.98,Medium,Medium Risk
STU00194,19,Tunis,2024-05-21,0,3,0,0.0,1.13,1,1,0.4951,1,1,at-risk,1.0299999999999998,Low,High Risk
STU00195,29,Cairo,2024-01-02,0,5,12,0.495,2.66,10,3,0.2554,0,0,active,13.66,Low,Medium Risk
STU00196,26,Beirut,2024-03-07,0,7,7,0.1981,1.75,12,3,0.4944,1,1,at-risk,7.55,Low,High Risk
STU00197,21,Amman,2024-03-23,0,3,11,0.7347,12.52,1,16,0.0,0,0,active,23.419999999999998,High,Low Risk
STU00198,21,Casablanca,2024-10-09,0,2,1,0.0941,0.33,5,1,0.8032,1,2,dropped,0.8300000000000001,Low,High Risk
STU00199,31,Tunis,2024-10-14,0,1,1,0.2272,2.74,1,2,0.4141,1,1,at-risk,3.64,Low,High Risk
STU00200,34,Cairo,2024-02-27,0,3,2,0.1562,3.68,15,3,0.4059,1,1,at-risk,4.18,Medium,Medium Risk
STU00201,20,Alexandria,2024-12-19,0,4,2,0.0765,2.75,1,2,0.3721,1,1,at-risk,4.65,Low,High Risk
STU00202,26,Riyadh,2024-10-06,0,6,3,0.1155,0.95,1,1,0.6474,1,2,dropped,3.85,Low,High Risk
STU00203,28,Cairo,2024-07-08,0,1,1,0.1119,1.73,1,3,0.3414,1,1,at-risk,2.63,Low,High Risk
STU00204,22,Doha,2024-10-09,0,4,6,0.3229,2.59,11,6,0.1965,0,0,active,7.49,Low,Medium Risk
STU00205,20,Riyadh,2024-08-08,0,3,4,0.2674,1.58,9,2,0.4425,1,1,at-risk,4.68,Low,High Risk
STU00206,22,Riyadh,2024-01-22,0,4,12,0.5798,6.01,58,9,0.2498,0,0,active,12.209999999999997,Medium,Medium Risk
STU00207,25,Amman,2024-07-05,0,3,1,0.0713,2.62,2,3,0.4717,1,1,at-risk,3.42,Low,High Risk
STU00208,25,Cairo,2024-07-02,0,2,1,0.0708,0.41,2,0,0.7586,1,2,dropped,1.21,Low,High Risk
STU00209,24,Dubai,2024-12-15,0,6,2,0.0648,0.67,2,2,0.6187,1,2,dropped,2.4699999999999998,Low,High Risk
STU00210,19,Dubai,2024-12-07,0,7,0,0.0,0.74,18,2,0.9112,1,2,dropped,-1.06,Low,High Risk
STU00211,21,Alexandria,2024-06-30,0,3,5,0.3346,4.06,18,3,0.2697,0,0,active,7.259999999999999,Medium,Medium Risk
STU00212,17,Baghdad,2024-07-27,0,4,8,0.4136,7.04,22,7,0.153,0,0,active,12.84,Medium,Medium Risk
